document,comment_id,comment,flausch
NDY-252,475,Auch sehr tolle Ideen von den anderen Youtubern ! :),yes
NDY-003,2436,yeah autotune ftw ?,no
NDY-252,590,Sehr tolles Video !! ( :,yes
NDY-250,1966,"bei newlook.com gibt es auch superviele unter nightwear , die heißen hier auch onesies",no
NDY-208,5813,5 min,no
NDY-274,121,"am ende hättest du vielleicht noch sagen können , für wen das buch so gut geeignet ist ( in diesem Fall wahrsch . nur für wirkliche Fans , die auch nichts anspruchsvolles suchen ) , aber so in der Richtung hast du ja schon ein Fazit aus dem buch gezogen . Ich finde du könntest öfters mal Buch- Reviews machen . ( :",yes
NDY-179,5083,othman said,no
NDY-252,815,Daaruum ich liebe deine videos ich werde gleich mal ein paar tipps ausprobieren hoffentlich helfen diese tipps mir auch . Ich gucke mir sehr gerne deine videos an,yes
NDY-186,1016,<EMPTY-COMMENT>,no
NDY-020,399,Das ist wirklich ein mega schönes Video . ♥ ♡ ♥ ♡ ♥ ♡ ♥ ♡ ♥ ♡ ♥ ♡ ♥ ♡ ♥ ♡ ♥ ♡ Hdl ♡ ♥ ♡ ♥ ♡ ♥,yes
NDY-250,2732,hab einen pyjama mit kurzer hose und hemd mit winnie puuh drauf ! :-),no
NDY-186,4854,könnt ihr mal don't talk to me parodieren,no
NDY-208,5295,Der Wecker klingelt nicht um 7:00,no
NDY-208,3290,des bei den Jungs is zu 1000000 % richtig,no
NDY-003,3768,Wer schaut das auch noch 2017 😂,no
NDY-186,1831,Bruder 3 Nice,yes
NDY-250,1556,du hast es bestimmt schon tausendmal gehört aber ich muss das jetzt auch nochmal schreiben :-D du bist sooo hübsch :-) in dem video ganz besonders . Deine Videos sind toll mach weiter so :-))),yes
NDY-208,7490,Also ich brauch so meistens 30 Minuten oder eine Stunde,no
NDY-186,4374,die tusse war net schön 😂,no
NDY-208,9046,meine morgen routine auf stehen dann anziehe dan wieder achlafen,no
NDY-003,1396,"Ganz ehrlich , alle die hier sagen das ihr singen könnt haben einfach keine Ahnung von Töne treffen bzw. Musik allgemein . Tut mir leid das zu sagen aber ihr könnts einfach nicht :D",no
NDY-247,86,emmm schwuchtel ?,no
NDY-208,4626,Ich brauch 1 Stunde im Bad,no
NDY-003,2841,Cool,yes
NDY-179,686,Hey ich mache auch Musik schaut mal vorbei würde mich freuen :),no
NDY-186,6062,"So geht es mir fasst jeden Montag , Mittwoch und Freitag in der Schule ! ( An Dienstag und Donnerstag habe ich zur 2. Stunde . Stand 17. 1. 16 )",no
NDY-020,797,boahh wie hübsch du bist : o,yes
NDY-208,1956,also ich bin auch so ach ich habe ja noch Zeit ich muss mich nicht beeilen mit anziehen ich weiß immer was ich anziehe ich esse fast nur morgens was 😂 😂,no
NDY-020,401,"Du hast aber auch eine seehr hammer Stimme , kann ich echt nur sagen :* * Richtig geiles Video :))",yes
NDY-020,679,"Hamma Video ! Deine Stimme ist richtig schön , und das alles ... Mir fehlen die Worte ... Aber was mich noch interessieren würde : woher hast du diesen blauen Fleck am Oberschenkel ? :D Aber deine Videos momentan sind eh Wahnsinn , also von daher .... LG , Rhiannon",yes
NDY-003,359,Die können echt gut singen ;D,yes
NDY-208,11853,5 min,no
NDY-003,2138,Last auch nicht ein schüchter unsere Band wurden auch in der Klasse wie ausenseiter behandelt aber in zwischen finden sie es cool und haben jetzt freunde feste,yes
NDY-208,7327,Ich bin ab heute offiziell ein Junge haha 😂 😂 😂 👌🏻,no
NDY-208,4893,ungefähr 25 Minuten,no
NDY-250,471,du wirst immer hübscher !,yes
NDY-186,5689,ganz ok,no
NDY-252,659,"Ich habe sehr starke Akne und habe sie mit solchen Tipps auch schon zu beheben versucht gegen einzelne pickel helfen die auch ziemlich gut , aber wer so starke pickel hat wie z. B ich sollte doch lieber zum Hautarzt gehen . Super tolle Haare , Super tolle Verlosung einfach super tolle daaruum ♥ ♥ ♥",yes
NDY-179,5024,Ich liebe heiko,yes
NDY-179,120,Gutes video ♡ ♡ ♡,yes
NDY-186,7398,Roman hast du ne Freundin 😘,no
NDY-179,476,Oha wie geil ich denk so schieße mein Ladengerät ist weg und nur noch 10 % ⊙ . ⊙dann hör ich so des Lied und mir fällt ein wo es liegt DANKE,no
NDY-186,2987,Der Refrain ist mein sowas wie mein Leben 😂 zumindest von Montag bis Freitag 🙈,no
NDY-186,236,jetzt geh ich . pen .,no
NDY-186,6845,bei 0:24 ist fabian von grischistudio im hintergrund,no
NDY-247,498,"@Xez1919 de Nein , das Thema ist zu umfangreich . Aber das Partnerprogramm machts möglich . Google doch einfach danach oder such auf Youtube selbst . Bin mir sich , du findest jede Menge Material ;)",no
NDY-186,1836,ihr hattet schon bessere Video,no
NDY-003,1126,irgendwie ist der satz mein herz spielt verrückt soga ganz süß und passt auch ganz gut zu den !!!!,yes
NDY-186,3677,ohman ihr steckt mich mit der Müdigkeit voll an : o ;D,no
NDY-208,3301,ich bin ein mädchen und brauch ne halbe stunde morgens im bad . zum duschen eher ne stunde 😂,no
NDY-208,895,cooles video,yes
NDY-179,2588,"Mach doch mal : AronChupa - I'm an Albatraoz , wäre super toll <3 :)",no
NDY-179,4520,Ich bin so ein Riesen fan von euch ❤ ❤ ❤ ❤,yes
NDY-186,6752,* roman ned romand sorry,no
NDY-250,800,"Hihihi , ich liiiiebe Pyjamas ! Hab zum Glück hier und da mal welche geschenkt bekommen , z. b. einen mit Hello Kitty , einen mit kleinen Tannen drauf für Weihnachten , einen mit Sponge Bob und dann hab ich mir selbst mal einen aus so rotem Satin für die Winterzeit gekauft . Aber ich muss sagen , dass ich die auch eher zum Chillen und Auf-das-Schlafen-Einstimmen anziehe , weil die Knöpfe beim Schlafen so unbequem sind : - / Also lande ich meistens mit einfachem T-Shirt im Bett .",no
NDY-003,3308,der mit dem weißem hemd an had ist heiko,no
NDY-208,12367,Ich baure 3mi,no
NDY-186,4053,ich bin ein riesen fan von euch,yes
NDY-003,1799,Ihr seid schwul oder ?,no
NDY-208,9919,Da ist 10 min später gestanden und es ist 5:36 😂,no
NDY-186,6386,könnt ihr eine Power von den lied bist du real machen,no
NDY-020,791,Wunderschön !,yes
NDY-003,3617,Hier,no
NDY-003,1938,gefällt mir,yes
NDY-208,10034,Ungelogen : 2 min .,no
NDY-208,8387,10 Minuten Brauch ich beim baden,no
NDY-179,4815,nice 😀 👍 🐱,yes
NDY-003,3411,Wart ?,yes
NDY-186,4314,+ simon nice alter die Parodie ist besser !,yes
NDY-208,1252,das ust bei mir voll anders,no
NDY-208,8330,Ich brauche 2 - 3 Stunden,no
NDY-179,883,Maps von Maroon 5. BITTE BITTE,no
NDY-208,8461,20 min brauch ich,no
NDY-250,2305,bei Primark gibts einteiler !! :),no
NDY-208,3493,10 min . morgenschiss 5 min . waschen 4 min . Zähneputzen im bad,no
NDY-003,3108,Yo lo tu der welt einen gefallen und bring dich selber um,no
NDY-208,6345,1 min .,no
NDY-003,1425,Wenn nicht dann heißt es in spätestens 2 Jahren Tschüss Youtube gesang :D,no
NDY-208,11225,Emelie Weber weil man seine Zähne 2 min putzen soll,no
NDY-208,11900,Me : 5 min .,no
NDY-003,307,@DieLochis Trotzdem Müll - . -',no
NDY-186,5752,geil 👍 👍 👍,yes
NDY-208,11649,Wer zieht denn die Socken zu erst an ?,no
NDY-003,135,Der mit dem weißen ist süß,yes
NDY-250,1617,Ich schlaf immer in joggingshose und nem übergroßen t-shirt oder nem top ;),no
NDY-208,11789,Ich ( Mädchen ) brauch ca. 10 min im Bad und bin auch sonst anscheinend ein Junge,no
NDY-179,2034,"Ich glaube das die Lochis nicht merken wem sie den ' Fame ' und das Geld zu verdanken haben , es sind nämlich die Fans und mit denen beschäftigen sie sich so gut wie garnicht , aber von denen wirds auch immer weniger ... Leute wenn ihr mir und der restlichen Welt einen gefallen tun wollt benutzt den Adblocker dann müsst ihr euch fürs klicken dieses Videos nicht schämen -_-",no
NDY-003,397,"Ich find' eigentlich echt gut ^^ Ihr seid echt nciht schlecht ... aber manchmal trefft ihr die Töne nicht . Macht euch nix draus , schaff cih selbst auch net imma ;D Naja , ich hoffe dass ihr noch mehr vids macht und freu mich auch schon drauf , Jungs ^^",yes
NDY-186,7089,Uwe Jurchen ???,no
NDY-208,9299,Ich brauche 35 Minuten im Bad,no
NDY-208,10480,ich brauche 1st und ne halbe,no
NDY-208,4595,"ganz ehrlich Mädels : wer hat sich beim schauen dieses Videos auch nur gedacht : warum bin ich nicht so wie die ?? :) ich stell mir den Wecker um sechs Uhr und steh erst um sieben auf , reicht nicht mal für Frühstück : , - }",no
NDY-208,6408,10 Minuten nach 5:36,no
NDY-208,10851,Ich brauche 5 - 10 min,no
NDY-208,11338,10 11 Minuten,no
NDY-208,11096,Wo für brauchte Heiko die Taschentücher 😂,no
NDY-186,2127,Sehr schön das ist was ihr AM BESTEN KÖNNT !!!,yes
NDY-186,5342,wann kommt der nächste song,no
NDY-186,6195,habt ihr eine freundin,no
NDY-003,3730,Wer guckt das auch 16 😂 voll lustig wenn man die kennt wie sie jetzt aussehen und jetzt in klein sieht . Und like wenn du sie auch nicht außer nander halten kannst,no
NDY-208,10875,Ich brauche im Bad 2 - 3 Stunden,no
NDY-208,8027,ich brauche nicht Mal 1sekunde,no
NDY-186,3672,ich finde das viedeo ist cool geworden,yes
NDY-250,2498,ich schlaf in nem zu großen t-shirt und ner boxershort ( die ich meinem freund klaue ) :D,no
NDY-186,5282,#waahnsinn !! :D,yes
NDY-186,5448,Ich auch,yes
NDY-208,5384,die gehen in die Schule ohne tasche,no
NDY-179,3297,Geile Parodie,yes
NDY-003,1043,Echt mall die sind alle nur Neiidisch und die können singen Roman gewann bei Wer wird Deutschlands Bester er würde da ja nicht gewinnen würde er nicht singen können !!!! ♥ ♥ ♥,yes
NDY-186,3111,darf ich eure hendi numer ? ( ? ),no
NDY-208,3318,mädchen halbe stunde ungefähr,no
NDY-186,7678,Immer noch der Hammer 😍 😍,yes
NDY-208,996,Tyrox exeption das kenne ich,no
NDY-208,11653,1 Minute,no
NDY-208,3702,Fiona König 1 m,no
NDY-208,3791,ich esse nie Frühstück,no
NDY-186,2328,cool Video,yes
NDY-179,3538,Wie immer wenig und kleine Strophen und tausend mal den refrain,no
NDY-247,329,"Wie kann man nur so allgemein sagen , dass der Mann zahlen MUSS , um beim Mädchen gut anzukommen ?! Ich für meinen Teil wäre sauer , wenn er unbedingt zahlen will . Sehen wir Mädchen etwa so hilflos aus ? Sehen wir aus , als ob wir uns zu fein sind , etwas selbst zu zahlen ? Jungs , wenn ihr zahlen wollt , dann fragt sie ob es ok ist besteht nicht drauf . Nicht alle Mädchen sind gleich ...",no
NDY-247,1009,Oha 😂 du hast dich voll verändert,no
NDY-003,2828,ich liebe eure Videos / Lieder,yes
NDY-179,2726,Kann man hier kein Double Dislike geben ?,no
NDY-208,5832,Hahaha,no
NDY-186,4450,könntet ihr eine Handyhülle in euren Shop bringen ?,no
NDY-246,103,xDD,yes
NDY-252,466,irgendwie sind da NUR videos mut guter qualität ....,yes
NDY-208,4090,ja ich auch,no
NDY-179,3304,Lovers at the Sun !! Bitte !!!! : - ?,no
NDY-186,437,<EMPTY-COMMENT>,no
NDY-186,5202,"Sorry , weiß nicht was Youtober sind . Kannst dus mir bitte erklären ? Bin neu auf Youtobe . Und wer ist diese Bibi ?",no
NDY-208,7549,10 min,no
NDY-179,2257,Ein neues Lied bitte die Melodie von cro,no
NDY-179,4171,ihr seid geiiiiiiill,yes
NDY-208,1026,4 Stunden,no
NDY-208,3837,Wieso hat Roman eine Brille ??? 🤔 🤔 🤔,no
NDY-186,881,das Lied ist nice,yes
NDY-247,1455,2016 ?,no
NDY-208,10528,Ich brauche 2 Minuten,no
NDY-208,3061,Ich brauch so 5 min im Bad,no
NDY-208,9724,Früh wenn schule ist brauch ich 10 min im Bad und am Wochenende wenn wir weggehen ca 45 min,no
NDY-179,3170,<b> - </b> ❤️,yes
NDY-186,2234,von wo kennt ihr exo ? 😂,no
NDY-179,2053,"+ Andrej Und was willst du mir jetzt damit sagen ? Das meine Kritik nicht berechtigt ist und man auch keine äußern sollte ? Das du davon genervt bist , tut nichts zur Sache . Ich werde auch weiterhin diese 2 Gestalten kritisieren .",no
NDY-208,1064,Svenja Schiller ich frühstücke gar nicht 😂,no
NDY-186,7194,Ihr seid Uhr cool,yes
NDY-179,2771,SUPER SUPER SUPER EINFACH GEIL GEIL GAILO :-),yes
NDY-186,2045,#SnapchatArmy @heikolochmann @jennie_lochi15 🙈 ❤,no
NDY-179,822,+ Lina Elhaj was denn jetzt,no
NDY-186,806,Is doch so alles was ich brauche ist Schlaf,no
NDY-208,153,82 er juhu,no
NDY-003,2192,jo echt so die beiden hobbylosen klein kinder sind solche opfer wenn ich die beiden live sehn würde würde ich die fertig machen !!!!! tipp an die beiden opfer : hört auf zu youtuben und geht zurück in euer loch ihr opfer !!!,no
NDY-003,1341,noch bischen triniren dann getz .,no
NDY-020,731,Richtig tolles video 💕,yes
NDY-208,11635,Ich brauche fast 1 Stunde im bad,no
NDY-003,2420,haha aber du kannst es besser ich glaube nich,no
NDY-208,9979,Ich brauche am kürzesten im Bad aus meiner Familie,no
NDY-208,391,👌 💪,no
NDY-003,1827,echt ?!?! ich nähmlich nicht ^^,no
NDY-208,8819,Hast du schon eine Freundin,no
NDY-208,4799,pizza Let's play ich auch,no
NDY-208,3760,Ich glaube ich bin ein junge xD,no
NDY-208,693,Wieso duscht Heiko mit Kette ? 😂,no
NDY-208,1467,ich liebe eure Videos ihr seid die besten,yes
NDY-020,1548,"Du hast eine echt schöne , beruhigende stimme . Ja vielleicht ist sie nicht Adele , aber es ist trotzdem sehr sehr schön geworden",yes
NDY-179,4725,Geil,yes
NDY-247,984,Krass der unterschied in den paar jahren :) ♡ ♡ ♡ ♡,yes
NDY-250,2402,also ich bin weiblich und 16. und ich finde pyjamas mega cool ! Hab aber leider keinen :( schlafe eigentlich immer mit schlabber-jogginghose und irgendnem vergammelten tshirt :D ich will aber auch einen cool pyjama !! kannst du die dann vl zeigen wenn du dir einen gekauft hast ? :) danke ! :*,no
NDY-186,5290,schaut mal eure Dislike daumen an das sind nur die leute die einfach euch nichts gönnen weil die sowas nicht können :D,no
NDY-003,679,bei mein herz spielt spielt .. : klingt es kurz bisschen schräg aber an sonsten sau geil !,yes
NDY-208,4934,Aber wenn man sie dannach putzt macht man diese Säure weg .,no
NDY-250,316,Also ich bin grade 16 geworden und ich ziehe immer so richtige pyjamas an und kuschelsocken bei jeder jahreszeit :D,no
NDY-186,4250,ihr werdet immer besser ;) ihr seid die besten ♥,yes
NDY-186,3356,an die lochis ihr seid die süßesten Jungs der welt und wenn ich könnte würde ich euch 1 mio daumen nach oben geben ich liebe euch 💓 💜 👍 👍 👍 👍 ✌ 💗 💗 💗 💚 💚 💚 💖 💖 💖 💖 💖 💝 💝 💞 💞 💞 💕 💕 💕 💕 💏,yes
NDY-186,589,richtig nice,yes
NDY-208,1584,elii 859 geht mir genau so XD ( halt auch keine schminke oder so XD ),no
NDY-208,11587,weiblich 12 brauche 3 -5 min im Bad morgens 😕,no
NDY-208,5685,20 min im bad 😂,no
NDY-186,6339,siete tutti inglesi ?,no
NDY-252,634,"tolles video , war sehr hilfreich ! mehr davon . :)",yes
NDY-179,4431,ich kann gut singen,no
NDY-252,101,Ich find die idee einfach nur großartig !!! Daaruum deine videos werden immer besser ! :),yes
NDY-208,4411,4 min,no
NDY-208,8317,5 min,no
NDY-285,162,"Ich habe bei diesem Video so angefangen zu weinen . Es ist soo schlimm was dort passiert ist . Ich würde alles tun , damit es den Menschen dort wieder besser geht . Es ist so traurig um die Menschen dort . die ihre Familie unter den Trümmern hinterlassen mussten !",yes
NDY-208,11125,Von 9 Uhr bis ca 11 Uhr,no
NDY-179,3446,<EMPTY-COMMENT>,no
NDY-186,2416,geiler Lied,yes
NDY-208,10958,Ich ne halbe Stunde,no
NDY-208,3584,hahaha meine ist eher wie bei Jungs xD .... als ob ich morgens so motiviert bin 😅,no
NDY-208,163,cooles viedeo,yes
NDY-208,1240,Ich bin ein Mädchen und brauch 15 min im Bad und hab immer was zum anziehn was einigermaßen ok is 😂 😂,no
NDY-208,1869,ich Brauche 1 oder 2 Stunde in Bad 😂 😂 😂 😂,no
NDY-252,736,super viele hilfreiche tipps :) würde mich auch rießig über eines der pakete freuen * - * viel glück an alle die auch eins gewinnen wollen :),yes
NDY-208,4752,+ Johanna Fuchs warum ist luca ein opfer ? Was hatt er getan ?,no
NDY-186,6628,Ich find heiko viel süß er als roman,no
NDY-208,9255,1 min,no
NDY-003,1327,einfach cool !!,yes
NDY-186,1467,@heikolochmann @corbtiara,no
NDY-186,7421,Sorry hab mich verschrieben,no
NDY-020,967,hugs & kisses Dummheit ! Du hast auf diesem Kanal nichts verloren !,no
NDY-208,6264,ich brauche im Bad meistens 5 Minuten,no
NDY-250,2737,Ich war diesen Sommer in Schweden und dort laufen viele in Einteilern auf der Straße rum :D,no
NDY-250,1640,PJS sind suuuper ich hab einige mit super süßen mustern ohne kann ich nicht schlafen,no
NDY-179,3471,Kauft euch doch gleich ein neues ladekabel,no
NDY-186,6610,cool,yes
NDY-208,10261,5 mkn,no
NDY-003,3483,Still german,no
NDY-186,902,cooooooool geile mega,yes
NDY-186,2696,Con crafter,no
NDY-208,5565,5 min im Bad bin junge,no
NDY-179,2794,ja lass sie,no
NDY-003,858,Jaa ?,no
NDY-003,1447,Hurenbengel . Einfach nur schwule Hurenbengel .,no
NDY-208,7758,15 - 20 min,no
NDY-179,1773,Dieser Sinn des Liedes ist unter aller Kanone ... :D xD,no
NDY-208,9823,10 min .,no
NDY-186,6636,"Meine Augenringe größer , als Mount Everest ? Ernsthaft ? Was für ein schlechter Text",no
NDY-003,938,Die können überhauptnicht singen :) Mehr Autotune geht nicht . Übrigens : Autotune ist die Stimmverbesserung um es ganz einfach auszudrücken .,no
NDY-208,11075,Ist mit mir was falsch ? Oder warum ist meine Morgenroutine nicht wie die von Mädchen 😂,no
NDY-208,11641,10 Minuten . 👖 👟 😊,no
NDY-020,1481,^-^,yes
NDY-020,735,oh wow die falschen wimpern stehen dir riiiichtig gut <b> - </b> total schönes video Luna ❤ ❤ ❤ ❤ ❤ ❤,yes
NDY-003,388,@SheldoCoopo Ich weiß nicht was du hast .. Ganz im ernst wenn die beiden eigene texte schreiben würden kämen sie sehr weit ! Versetz dich mal in die Köpfe der 13 - 15 jährigen weibern ! Ich finde ihre stimme geil ! Und sie müssen jah jetzt nicht singen können wie Brunomars oder was weiß ich ! Jeder Mensch kann singen ! Aber nicht jeder hat die perfekte stimme für jedes lied ! ♥,yes
NDY-208,564,Ich brauche nur 10 Minuten ohne duschen,no
NDY-003,2218,"Ich bin kein Boy , net 6. Ich bin 12 und ein Mädchen , also kann ichs ja sagen : Machs doch besser !! Tja , jeder hat halz den anderen Geschmack - . - Ich mag sie 3",yes
NDY-250,2093,Tolles Video ! Und super Mütze :),yes
NDY-003,1109,das ist das erste video das ich von euch sehe und muss euch echt ein Lob aussprechen :) Klar ist das nicht die korrekte Übersetzung von My heart skips a beat ( wie oft hier genannt ) aber ich finde eure Version sogar noch besser als die von Alexi Bexi ( der hat mich hergeführt ) denn : ihr singt es in eurer jüngeren Stimme in der richtigen Tonlage und dadurch kann ich über die etwas freie Übersetzung drüber hersehen . Also macht bitte weiter und ingnoriert die Assis die nix verstehen .,yes
NDY-208,3468,elsa 😘 😘,yes
NDY-208,11303,15 Minuten,no
NDY-179,3694,Ich liebe euch,yes
NDY-186,924,cool,yes
NDY-003,3773,Isso xD PS. : A. R. M. Y 😂 😍 ❤,yes
NDY-186,1673,@heikolochmann @http . heirosgirl,no
NDY-186,6950,max,no
NDY-186,1028,+ DieLochis Heiko .,no
NDY-003,3489,Gut gesungen,yes
NDY-252,810,Hey du siehst in dem Video sehr hübsch kannst du dazu ein get ready with me drehen ? Ich finde das Video echt hilfreich :-) ich würde mich sehr freuen wenn ich gewinnen kann,yes
NDY-003,110,@Makkadam1 Ich sehe das genauso . solche kleinen Kiddis ^^,no
NDY-208,9533,Um es nicht zu vergessen ich bin ein Junge,no
NDY-247,668,"und geh du lieber zur schule , um deine rechtschreibung zu verbessern . ich finde es nur unmöglich , wie sich leute wie du das recht rausnehmen , irgendwelche youtuber zu beleidigen , obwohl sie sie überhaupt nicht kennen . du musst ihn nicht mögen , ich bin auch kein sonderlich großer fan von seiner extremen selbstdarstellung , aber seine existenz als größter fehler der menschheit und unnötig darzustellen , ist einfach respektlos . schau mal in den spiegel .",no
NDY-003,1774,es ist falsch übersezt zihs mal in den google übersetzer,no
NDY-003,548,"also ich find es eigentlich voll in ordung , was die anderen haben ey so ein video zu machen ist nicht ganz ohne und singen können sie auch also was habt ihr dann noch ?? daumen hoch :D",yes
NDY-208,9884,Ich brauche am Wochende 30 - 60 minuten,no
NDY-186,1946,#SnapchatArmy @heikolochmann @angi_thurner 🙈,no
NDY-208,1666,Ich brauche nur 4 min im Bad und bin ein Mädchen,no
NDY-208,1524,Folgt mal bitte alle unsrer Seite auf Instagram : lochisfangirls,no
NDY-250,225,Ich schlafe am meisten mit pytjama Hosen und grossen T-Shirts von meinem grossen Bruder,no
NDY-274,297,"du wiedersprichst dich . erst sagst du , der erste teil , indem sie selbst schreibt , sei der interessanteste . später meinst du , dass der teil indem andere über sie schreiben , viel interessanter sei . ich finde es ausserdem ein fehler , dass du behauptet hast , du seist nach ca. 90 min mit dem buch durch gewesen . du hast die zitate noch garnicht gelesen , also bist du mit dem buch auch nicht durch . ^^ ich persönlich bin echt fan von der katze , weil ich sie supercool und total lustig finde . aber auch hier muss das jeder für sich selbst entscheiden , ob er sie mag , oder nicht .",yes
NDY-208,3920,Uff heiko .. dein body,no
NDY-186,5959,+ Cookie Girl ist mir eigentlich scheiß egal,no
NDY-208,9102,E ja,no
NDY-246,170,GEILE SACHE :D,yes
NDY-208,748,Iwie bin ich ja mehr der Junge,no
NDY-208,2362,Ich brauch 10 Minuten im Bad,no
NDY-208,6184,45 minuten lämnger als meine schwester xD,no
NDY-250,1499,Sory meinte tchibo,no
NDY-250,321,WoW du siehst heute eccht gut aus ! :),yes
NDY-208,1361,war maga cool ❤ könt ihr bitte noch ein Video davon machen 😘 😘 😘 😘,yes
NDY-179,3437,<EMPTY-COMMENT>,no
NDY-208,7813,Stehe um 6:30 Uhr auf penne noch 5 Minuten und brauche fast ne Stunde im Baad . Lel .,no
NDY-186,3332,der Wahnsinn voll geil,yes
NDY-208,11419,30 Minuten,no
NDY-003,2517,ich auch :P,no
NDY-186,1446,#SnapchatArmy @heikolochmann @kat_rai,no
NDY-208,8808,Bei mir trifft wohl der Junge zu,no
NDY-186,429,<EMPTY-COMMENT>,no
NDY-186,263,geilll,yes
NDY-186,1608,Ich habe dich Abonniert ;-),yes
NDY-186,843,👍 💕 😍 😘,yes
NDY-179,3178,Geilo ♥ ♥ ♥,yes
NDY-186,849,geiles lied,yes
NDY-186,4191,Coole Parodie 3,yes
NDY-186,896,habt ihr mal wieder gut hinbekommen ;) #schlaf * - *,yes
NDY-208,5798,45 Minuten brauche ich im Bad,no
NDY-208,9965,Also ich brauche mindestens zwei Minuten im Bad,no
NDY-208,4250,Xbox Gamer Hd eine aus meiner klasse ist 15 und ich bin in der 7.,no
NDY-179,2696,+ Andrew des Känguru Gollum in hässlich,no
NDY-179,2932,Ihr macht es gut aber an Anfang hört es sich komisch an,yes
NDY-247,736,"Dein Video ist echt super , aber du hast dich in der langen Zeit ( ist ja schon 2013 ! ) wirklich PRIMA entwickelt ! Du bist charmant , witzig und ein richtiger Profi . Du hast echt das Zeug zum Moderator :)",yes
NDY-186,1582,Du hier ? Hätte ich nicht gedacht ... 😰,no
