id;description;DBO
1096120717093017;3 Lkws nebeneinander und schön mit Gehupe draufzu fahren ganz langsam dann machen die schon platz.;nothing
1096507180387704;Woraf wartet die Polizei?;nothing
957619720943118;Danke allen Patrioten.;nothing
982662015105555;Die schnallen gar nix,hauptsache alles hübsch und friedlich darstellen ??die müssen ganz schnell weg??;nothing
982680751770348;Wir verdanken H;nothing
1012443675460722;Hab ich auch gedacht. Ich meine der heißt schon länger so.;nothing
1036216296416793;ICH BIN DEUTSCH UND ICH LIEBE DIE ISLAMISCHE KULTUR;nothing
966638326707924;Danke :);nothing
1096020673769688;Wegtragen? Eher nach islamischen Recht auspeitschen;nothing
1035160113189078;Ich möchte meinen Respekt bekunden für Ihre Courage! In Bremen ginge das (für mich) nicht, ich würde ratz-fatz Zulassung / Lizenz verlieren. Unser Bürgermeister hob gerade das Gute an der Umvolkung hervor: Man starte jetzt Bauprojekte, so dass tatsächlich auch für die Einheimischen Positves abfallen werde. Danke!;criticism
985449898160100;Ist das nicht eine Beleidigung die sofort zur Anzeige gebracht werden muss ? Danke Herr Maas Lach;nothing
1065841533454269;neee - iss klar, - wenn die ethnische Umformung bissl holpert dann halt staatliche Umerziehung - wie bei Väterchen Stalin und Vattern Honecker ...;criticism
1391722246620815360;"Der hat doch einen Knall, der Maaßen, wie alle  #FCKNZS  Die #CDU will/wird mit der #fckafd koalieren. Am Wahlabend wird es dann heißen:""...unter demokratischen Parteien... 😡🤢🤮  Hans-Georg Maaßen wirft den Grünen „Rassismus gegen die eigene Nation“ vor https://t.co/XKI7O2cKBQ https://t.co/FmHENzrhpp";criticism
862455193792905;Na und? Denkst Du da kommen weniger? ?;nothing
1134573903247698;fiekie fiekie?;nothing
876335922404832;"Ganz ehrlich:

Ich finde es gut, daß im Ausland der Eindruck entsteht, wir wollen keine Einwanderung. 

Weil: Ich wills auch nicht. Warum auch ? 

Warum lösen wir unsere demographischen Probleme nicht durch eine radikal verbesserte Familienpolitik? Wusstet Ihr, daß unter dem achso bösen Gaddafi in Lybien jedes Hochzeitspaar 50.000 USD als Starthilfe bekam und der Strom kostenfrei war ?

So etwas kriegen wir hier aber nicht hin, dafür jedoch Waffenexporte, verbilligte U-Boote an Israel, eine sündhaft teure Migrationsindustrie und Rettungsschirme für Griechenland.

Wo bleibt der Rettungsschirm für die Zukunft unseres Volkes ?";criticism
935802633124827;Na dann lass Die Leute doch links liegen;nothing
1522;Erwache Deutschland 🇩🇪;nothing
1524;Heil Deutschland !;nothing
1013088768729546;Ist halt ein Jude und ein Oberzionist;nothing
1386844772107800576;@ARD_BaB @IngmarStadelman Es gibt nur eine logische Erklärung: Es handelt sich um Korruption, denn Impfungen, Tests, Schutzkleidung, Medienkampagnen, [...] sind ein extrem lukrativer Markt für hirnamputierte Idioten, die jede Scheiße fressen und jedem Führer folgen.;nothing
1065825680122521;Politiker brauchen keine Aufklärung über Demokratie, die wissen genau daß es keine Demokratie ist, wenn ihre Entscheidungen und Gesetze vom Volk nicht verhindert werden können! Wenn die repräsentative Demokratie (gewählte Volksvertretung/Parlament=Gesetzgeber/dt.BUNDESTAG) über der direkten Demokratie (dem Willen aller wahlberechtigten Staatsbürger/Volk) steht, DANN ist es eine Oligarchie, eine ELITEN-DIKTATUR, eine Politiker-Diktatur! Die Wahl der richtigen Partei bringt nichts, wenn das Wahlrecht nicht demokratisch verändert wird! Es macht keinen Sinn wählen zu gehen in einem diktatorischen System, das merken immer mehr Menschen und gehen nicht mehr zur Wahl.;criticism
982647521773671;Chaos herrscht in Europa und wenn haben wir das alles zu verdanken? Merkel.....haben sie überhaupt eine Ahnung was sie da angerichtet haben? Und was noch kommt und wie die Zukunft in Deutschland und Europa aussehen soll?  Wie verrückt muss man sein sein eigenes Land so kaputt zu machen. Oder aussagen zu treffen wo man die Konsequenzen nicht einmal im Ansatz erahnen kann. Ich kann garnicht so viel schreiben wie ich kotzen möchte.......da fehlen ein echt die Worte! Ab jetzt ist Deutschland Geschichte!!!!!!!!! DANKE ! PS: Und NEIN ich bin kein Nazi habe viele Ausländer als Freunde.;criticism
1012950565410033;"Kampf gegen Terrormiliz.  Warum der Vernichtungsschlag gegen den IS ausbleibt. 
http://www.n24.de/n24/Nachrichten/Politik/d/7662322/warum-der-vernichtungsschlag-gegen-den-is-ausbleibt.html";nothing
1012648365440253;Lesen dauert 1 Minute.;nothing
1134079326630489;Nein!;nothing
1369;stell dir vor du machst aufwendiges image video zur selbstbeweiräucherung mit rundfunkgeld und bekommst dann dafür 12 fafs auf social media ich glaube beruf influencer verfehlt mein lieber berufsneger michael obabungweh;nothing
1121622264542862;https://www.youtube.com/watch?v=Qn8uD3f5-D8;nothing
982709488434141;warum hat die Polizei nicht geschossen auf die Steinewerfer?;nothing
1077844702253952;Welche Seele? Um die müßte sich ein Exorzist kümmern.;nothing
982725731765850;Schwarze Weise und knacken sind die neue deutsche Einheit [@IND] la Perez thumbs up lass dich nicht unterkriegen;nothing
1094613687243720;Wieso habt ihr nicht wie unrsprünglich geplant die Demo in Leipzig gemacht?;nothing
1063694460335643;Heimatkunde sollte man wieder einführen ??;nothing
1095901183781637;Kriminelle;nothing
862021053836319;Karla, du scheinst den Unterschied zwischen kostenlos und umsonst nicht zu kennen...;nothing
1374;...wäre ne Kugel in seinen kranken Schädel nicht die bessere Variante, als ein Leben lang Vollverpflegung 😁;nothing
855183547853403;Das hatte ich heute schonmal gepostet. Fand ihn ganz treffen, den Spruch.                                          https://www.facebook.com/photo.php?fbid=391453721014203&set=a.100224876803757.362.100004487340432&type=1;nothing
855002657871492;Deswegen sollen sich die anderen nicht ...gida nennen dürfen sonst bauen die mist so wie evtl Legida und dann fällt es auf Pegida zurück;nothing
1012440768794346;Herr Kluge, es schreibt Ihnen ein schachmat aus BW der seinen Zweitwohnsitz in einer Nachbargemeinde  von Rammenau hat und der am Montag auf dem Theaterplatz steht. Ach ja und ich bin ein schwäbischer Ureinwohmer.;nothing
855480981156993;Wann hat die Merkel nun gelogen? Damals, als es hieß Multi-Kulti ist gescheitert oder aktuell wo wir multikulti sein sollen?  Ich behaupte mal die lügt immer wenn sie das Maul aufmachen tut.;criticism
855053944533030;hoffentlich gehts gestärkt weiter;nothing
1106091616095927;https://wissenschaft3000.files.wordpress.com/2014/08/arschtritt.jpg?w=600;nothing
861962397175518;PEGIDA  bleibt doch man muss ja nicht mit Frau Oertel an der rechten Seite der CDU gehen.;nothing
876468605724897;Es wäre traurig wenn man PEGIDA nur auf die unkontrollierte Zuwanderung reduzieren würde.;nothing
882998485071909;Gut weiter so !!!;nothing
945839072121183;Chris Schmidt: Gehören Sie zu den Gutmenschen?;nothing
1010186595686430;Annette Kaiser  Genau :-).;nothing
1134072919964463;Muss ich nicht haben,soll Merkel selbst tun.;nothing
945442192160871;Troll dich....;nothing
1453;Achtung, meine Freunde! Wir müssen für eine Welt ohne Juden und Kommunisten kämpfen. #WhitePower;nothing
1725;Der deutsche wurde 70 Jahre lang dazu erzogen den Mund zu halten! Schluss damit!#refugeesnotwelcome #Wir sind das Volk #AfD #merkelmussweg;subversive
882911828413908;Das ist die natürliche Auslese irgendwann und wieder sollen mal die Nazis schuld sein;nothing
882759261762498;Tobias;nothing
1134105939961161;Kaputt im Kopf.;nothing
1069523676419388;"Andreas Gugganig Nö, die Leute hatten die Schnauze voll von Kaisern und Königen, Herzogen und Baronen nach ihren Erfahrungen in Verdun und an der Somme. 
Genauso wie sie 1945 die Schnauze voll hatten nach Stalingrad, Kiew und Bagration.";nothing
1018198641551892;http://www.fdesouche.com/676957-merkel-envisage-daller-chercher-les-migrants-en-turquie;nothing
1134146199957135;Sie hat einen persönlich kennengelernt! Und was glauben sie Frau Merkel was die Frau jetzt darüber denkt, eine Bereicherung für Deutschland wir brauchen mehr? http://www.freiezeiten.net/syrer-vergewaltigt-verkaeuferin-in-baeckerei;criticism
1081;guten tag mein kameraden #Stolzflagge #stolzmonat DEUTSCHLAND ERWACHE!!!;agitation
982639745107782;Jetzt seht ihr mal das Wahre Gesicht der Flüchtlinge wie Agressiv sie sind obwohl sie schon lange in Sicherheit sind naja sie werden einen weg nach Germoney finden garantiert.;nothing
1055085407863215;Super Text;nothing
935255169846240;ein Facharbeiter weniger...;nothing
935288126509611;"Du bist bestimmt missbraucht worden da kann man den geistigen Müll schon verstehen den du da von dir gibst. Bist du schon zum Islam konvertiert.? Falls nicht werden das auch keine Freunde von dir du Lappen ;-)";nothing
855003304538094;https://staseve.wordpress.com/2014/07/27/hessische-verfassung-zeigt-auf-das-alliiertes-recht-der-militarregierung-hoherrangig-gegenuber-deutschen-gesetzen-ist/;nothing
876307282407696;Richtig, wollen wir auch nicht.;nothing
935252876513136;Und all das hat wieder einmal nichts mit dem Islam zu tun.^^;nothing
945850188786738;"Wie gesagt... in meinen Augen Feiglinge.. nicht mehr und nicht weniger.. kleine Hunde bellen am lautesten.. ;)";nothing
1385149594049433600;@aegidius Habe gestern anfänglich die Debatte live verfolgt. Wie die AfD sich da wieder präsentiert hat war typisch: destruktiv, asozial und bewusst gesundheitsgefährdend für alle Anwesenden.  Wird Zeit, dass dieser Mob, der nichts als boshafte Propaganda verbreitet, entsorgt wird.;agitation
1091914017513687;Du sagst es.. oder die werden versuchen wieder ihren Pass zu verlieren und behaupten sie seien doch lieber wieder Iraker,.Und sich ihre Fingerkuppen abzuschäuern...;nothing
876458075725950;"Also, unter den Asylanten, sind fast nur ungebildete. Die wenigen Ärzte würden nichtmal reichen um die Asylanten zu behandeln. Wie soll das ein Gewinn sein. Und warum zum geier kommen die ALLE nach Deutschland? 
Warum nimmt Polen bspw. überhaupt keine Flüchtlinge auf?";nothing
1647;Phädophile Betrügerin...;nothing
1121888927849529;Das ist so schlimm wenn man sich nicht mehr wie zuhause fühlen kann...;nothing
945839008787856;Man da habt ihr ja richtig Glück dann sinken ja die Kocks  Preise;nothing
1064397610265328;also!;nothing
1134126869959068;Will keinen kennen lernen!!!!!;nothing
1007247705980319;Nik Omuk!;nothing
855607874477637;"Fredi Fredo, woher weißt Du das ""keiner"" so sein will wie wir? Sogar die ""ZEIT"" konstatiert, daß jeder 2. Pegida recht gibt. Lies einfach mal die Leserkommentare auf den Websiten wie FAZ oder Welt - dann weißt Du wirklich, wie keiner mehr sein will.";nothing
989187501119673;you made my day - geiler kommentar (y);nothing
1069116643126758;Der ist doch betrunken!;nothing
1385195905155059712;@Politics_buff27 @RosiRot5 @Doblerin Es gibt auch linke Juden, die der MuslimBruderschaft nahe stehen. Verräter der Heimatländer findet man überall. https://t.co/8WWf5s5E6b;nothing
1111331698905252;ich lach mich scheckig...Gut!!! Problem ist, da die Assys Bargeld wollen/brauchen, werden wohl noch mehr Überfälle standfinden.;nothing
1043594009012355;Die Regierende sind in die ecke gestelt wie ein hund und beißen um sich,die forderungen müssen lauter werden WECK mit diesen Volsmörderische politik und politiker Merkel WECK Regierung ab setzen.;subversive
882695448435546;Ein paar schnurrer weniger nicht schade drum.;nothing
1105411336163955;Ab besten am Hirsch noch besser auf der Schevenstraße;nothing
1405235267041169408;@Crosshead16 @SteffenSchlager @Karl_Lauterbach Es gibt in 2021 bereits fast doppelt so viele Impftote als in den 20 Jahren zuvor. Quelle: Paul-Ehrlich-Institut;criticism
1055104017861354;Die Migrationswaffe ist von den USA abgefeuert und wird Europa destabilisieren.;nothing
1012951658743257;"Tausche rassistisch gegen Islamfeindlich. Trotzdem habt ihr nicht recht...

Euch geht es einfach gut...";nothing
855578194480605;"Ich Eure auch nicht. 
Wenn Ihr eine Meinung habt, bitte. Die könnt Ihr gern kundtun. 
Aber dann sprecht NICHT IN MEINEM NAMEN!  
Ich gehöre auch zum Volk und ich kenne mehr Leute, die mit Euch nicht in einen Topf geschmissen werden wollen. Die eine andere Meinung haben. Aber die wollt Ihr ja nicht hören, weil Ihr allen pauschal unterstellt, wir wären fehlinformiert. 
Und nenn mich nicht Engelchen. Du nicht!";nothing
925390840832673;https://www.facebook.com/rolf.luckel/posts/486483454840748?pnref=story;nothing
1389307946023231488;@tagesschau Da kann die Presse nur froh sein,  dass sie so AntiFA freundlich berichtet. Die bisherigen Angriffe würden den Pressevertretern sonst wie ein Kindergeburtstag vorkommen.;nothing
855119494526475;Den armen Rentner gönne ich es ja ,nur schade das sie für sollche Zwecke dann Missbraucht werden .;nothing
1134242149947540;Völlig verblödet die alte.. Ich wechsel die Straßenseite, so wie es geht, wenn mir sowas entgegen kommt..;nothing
1012245162147240;Frechheit! Wer ist denn dieser Striezel?;nothing
982665255105231;Warum wenden sie sich mit dieser Energie nicht gegen die IS??? Und sowas wird am Bahnhof in München mit Blumen und jubel begrüsst- einfach nur krank!!!!!!!!!!!!!!!!!!!!!!!!!!!!;nothing
1056969124341510;is ja ein hammer!!! doch soviel+wat is mit den anderen paar hunderttausend ???????;criticism
1239;Hoffe murad wird getötet;nothing
1095901703781585;.....genießen den besonderen Schutz unserer Regierung!;criticism
1388434803930845184;@smithdesign77 @HagerSvensson @Kritikerin5 @Joerg_Meuthen @BVerfG Eine Diskussion mit denen ist sinnlos. Das wirklich Einzige, was die sog. #noafd  vereint ist ihr krankhafter Fremdenhass. Bei allen anderen politischen Fragen haben sie entweder überhaupt keinen Plan, oder streiten sich wie die Kesselflicker.;agitation
855536074484817;Immer diese Fäkalworte, Kindern verbietet man das.;nothing
1010808572290899;man braucht nicht bis zum abpfiff warten, ihr dürft es auch während der spiele rufen;nothing
855057441199347;Richtig. Für alle hier in Deutschland die für pegida sind;nothing
991243064247450;Respekt vor Euch Patrioten. Grüsse aus NRW. Bald wird die Stimme des deutschen Volkes wieder laut erklingen und die Gutmenschen schweigen wieder. Und weinen. Nutzloses Gesocks.;nothing
855361464502278;Nicol yr enemy is sleeping with u next they take yr head.;nothing
1111920318846390;...und wenn sie noch so schlecht singen würde (was nicht der Fall ist)...es geht um den Sinn und das Verständnis des Textes!!;nothing
855049764533448;ach gottchen, geh spielen Benno :);nothing
1095910023780753;Islamistische Ideologie geht von einer göttlichen Ordnung aus, der sich Gesellschaft und Staat unterzuordnen haben. Dieses „Islam“-Verständnis steht im Widerspruch zur freiheitlichen demokratischen Grundordnung. Verletzt werden dabei vor allem die demokratischen Grundsätze der Trennung von Staat und Religion, der Volkssouveränität, der Gleichstellung der Geschlechter sowie der religiösen und der sexuellen Selbstbestimmung.;nothing
1096043963767359;warum schafft man diese bankrotten herumtreiber nicht dahin zurück, wo sie herkamen ?;nothing
862013330503758;Hat man euch ins Hirn geschissen???;nothing
855452417826516;"http://www.spiegel.de/politik/ausland/saudi-arabien-koenig-abdullah-bin-abdul-asis-al-saud-ist-tot-a-1014513.html                                                                      ""Salman hat gute Verbindungen zum einflussreichen islamischen Klerusdes Landes. Von den liberalen Kräften und den Schiiten wird er weniger stark abgelehnt als sein erzkonservativer Vorgänger, Kronprinz Naif. Dennoch gilt auch er als konservativ. 2010 sagte er in einem Interview: ""Wir können keine Demokratie in Saudi-Arabien haben, sonst wäre jeder Stamm eine Partei und wir würden wie der Irak werden und im Chaos enden.""";nothing
1096354510402971;Zum Kotzen! Schickt die bloss bald in die Türkei zurück, bevor wir die auch noch hier haben.;nothing
1089;@user Wir werden dich nicht vergessen und wir werden dich zur Rechenschaft ziehen. #Nurnberg #Kreuzigung #SiegHeil;agitation
883425301695894;wohnen nun schon rechtsextreme Flüchtlingsheimen?? oder war es ein Asylbewerber??;nothing
1043667842338305;Merkel muss weg !!OUT<OUT<OUT and OUT !!!!!!at once;subversive
877111258993965;Hartz 4 ... Harz ist ein Landstrich. .. mach nen deutschkurs;nothing
982814478423642;https://scontent-vie1-1.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/11206038_10207512178664708_7984138014694797740_n.jpg?oh=3672859b8ef8c939949f9cd9c990d871&oe=565FF66C;nothing
1035129403192149;Andi Grupp;nothing
1066462483392174;Devise lautet nach wie vor: Zone zuscheißen!;nothing
982664691771954;Hilfe ????????;nothing
855582804480144;wer in der demokratie schläft ,wacht in der diktatur auf;nothing
1152519454786476;Frag mich was die AfD mit Rassismus zutun hat?;nothing
1012881868750236;"Sind das jetzt Nazis und tragen rääächtes Gedankengut in sich???
Da hat die antifa ja noch nen Feind zu bekämpfen!??";nothing
989239237781166;Dämonisierung des Gegners ist immer ein notwendiger Teil der Strategie. Jetzt sind wir an der Reihe.;criticism
855027667868991;Nur wir zusammen können das ändern und wir schaffen das auch wenn der Weg sehr steinig wird pro pegida;nothing
985414948163595;Klasse!;nothing
982749421763481;das Militär und Polizei muß uns helfen und die Grenzen verteidigen;nothing
982683045103452;Ich bin Realist und Gutmensch,  trotzdem weiß ich das es so nicht weitergehen kann. Mit rechter hetze gewinnt man aber auch keinen Blumentopf.  Das schnallen einige von euch aber anscheinend nicht.;nothing
1105428829495539;ah ok,danke fürs bescheid sagen.;nothing
882713101767114;"Dachte es war ein Tunesier?
Sind die jetzt auch schon rechtsradikal?";nothing
991242674247489;In Ba-Wü kein Bild mehr.....Ton war vorher schon nicht da;nothing
1035617159810040;Dann aber auch einen Abstecher nach Grimmitschau??;nothing
1105841699454252;Ist es eigentlich verboten, dass Wort WILLKOMMEN mit Schweineblut an eine Moschee zu schreiben? ?? Ich frage ja nur, man will ja schließlich nur höflich sein.;nothing
985392001499223;In der Realschule Neusäß sind Asylforderer in die Turnhalle eingezogen und fotografieren am Tag die Mädels auf dem Schulhof.;nothing
1111431828895239;https://www.youtube.com/watch?v=Q0Ul9myycm0;nothing
855192497852508;Kannst DU mal bitte aufhören zu pöbeln, Schwedler?;nothing
1063656813672741;ups;nothing
1111306352241120;Für was brauchen die Bargeld , bekommen doch eh alles gratis . Bahnfahrten gratis , Schwimmbad gratis usw usw . Ich finde es gut , damit wäre zumindest schonmal der Missbrauch schwieriger .;nothing
855549784483446;:'D pinats!;nothing
1057151130989976;Die Nachricht wurde vielleicht nur falsch interpretiert. Es wurde in ganz superextrem klitzekleinchen Maßen abgeschoben.;criticism
1096004480437974;Ich darf auf der Autobahn nicht packen, da hilft nur weiterfahren. ????;nothing
1693;"Jeder der so einen Polizisten tötet, ist ein Held, wie die Männer die Reinhard Heydrich getötet haben. ;https://www.news-planet.tv/zombie-news-spezial-wir-sind-im-corona- krieg/";nothing
855110407860717;Jepp, BAGIDA wird sich daran orientieren.;nothing
1112468525458236;"Please, share this with all of Germany!

A woman's report, who speaks perfect Arabic and heard everything the i-migrants said on the train on their way from Hungary to Germany last year!

The whole West needs to see this!

(Please, turn CC on for English subtitles)

https://www.youtube.com/watch?time_continue=42&v=8U36fCE_vCE";nothing
1065;1488 ⚡️⚡️;agitation
1095899217115167;Haben de Griechen keine Wasserwerfer um die weg zu schwemmen.;nothing
1011304792241277;Frau Messerschmidt, zu behaupten das mir der schreckliche Abschlag von Paris egal ist, ist eine Frechheit! Warum können Menschen wie Sie nicht sachlich Argumentieren?;nothing
876249219080169;Christian Kirschey :D :D;nothing
1010690208969402;So ihr Lieben, raus auf die Straße nicht nur wir im Osten ! WIR sind das Volk ! Und nicht provozieren lassen.;nothing
1052863494752073;Denis Kleinert tun sie dass, oder wollen sie ganz einfach Kravall?;nothing
1065849790120110;Daniel Mainz Mein Pa hat 65 Jahre SPD gewählt und ist jetzt AfD sympathisant und Wähler.;nothing
1065858670119222;"Mal eine Anfrage an das Männlein im Rollstuhl senden! ;-)";nothing
1385100375171215360;Beim Impfen „ist echt nicht alles schiefgelaufen“, findet Merkel https://t.co/YTYrISLni9 Wenn Merkel so schnell IMPFSTOFF von Biontech bestellt hätte wie sie Sozialschmarotzer ins LAND holt würde in Deutschland alles wieder normal jetzt tun sie so als wenn wir Schuld hätten !;criticism
1521;Ist halt kein Kavaliersdelikt wie Messerstecherei oder Vergewaltigung! #Höcke #Berufung #Urteil #AllesFuerDeutschland;nothing
1148;Ein Volk, ein Reich, ein Führer - wir werden uns nicht von den Zerstörern unserer Nation besiegen lassen! #SiegHeil #DeutschlandErwache;agitation
855154217856336;Da is wieder so eine ja und Amen sagerin;nothing
982725528432537;Kraftlos, verängstigt und dankbar für jede Kleinigkeit....MAN SIEHT ES!!!!!;nothing
1011309012240855;Gruß aus München!!!;nothing
985365761501847;Livestream aus Leipzig https://www.youtube.com/watch?v=D9QLgXFWXu0;nothing
1295;@007_bulldog @FFF_Berlin @p4fBerlin @Berlin4F Du Hurensohn Hater deine Mutter gibt es als 0815 Schlampe auf einer 10 Jahren alten Porno CD die von obdachlosen Nazis genutzt wird. Deine Mutter hatte einen Gang bang mit afdlern diese Nazi Schlampe. Du hurensohn. Komm mal rüber wenn du paar auf die fresse willst.;nothing
1134079743297114;NIEMALS!!!;nothing
1194;Wir müssen unsere Grenzen schließen und unsere Kultur verteidigen. #DeutschlandErwache;agitation
877044789000612;"Die deutsche Arbeitsagentur wird im Wesentlichen aus den Beiträgen der sozialversicherungspflichtig tätigen Arbeitnehmer und deren Arbeitgebern finanziert. Frei nach der Logik: ""Wessen Brot ich eß, dessen Lied ich sing..."" bedeutet dies für mich, dass die Arbeitsagentur die Interessen der deutschen Arbeitnehmer und Arbeitgeber sowie der 3 Mio. deutschen Arbeitslosengeld-I-Empfänger vertreten sollte. Damit dürfte diese Behörde mehr als ausgelastet sein. Kommentare über PEGIDA oder andere politische Erscheinungen stehen diesen Leuten nicht zu, genau so wie den Vertretern der IHKs und der Handwerkskammern. In den Chefetagen dieser von keinem benötigten Wasserkopfinstitutionen sitzen unnütze Leute, die von unserem Geld leben und sich dafür das Recht herausnehmen, uns zu sagen, was wir in unserer Freizeit zu tun und zu lassen haben. Also wir sehen uns am Montag 18.30 Uhr Dresden Neumarkt!";criticism
862052523833172;Habe beim Gassi gehen mit meinem Hund,eine Ratte gesehen,welche auf der rechten koerperseite,kein fell mehr hatte.nun bewegt mich die frage ,ist das arme Tier,rechtsrattikahl ???;nothing
982668681771555;"Tränengaseinsatz! Ich feiers ;)";nothing
1088;Gerade wurde der Jahrestag des Anschlusses mit einer Hakenkreuzfahne auf der Straße gefeiert! #HeilHitler #Volksgemeinschaft;agitation
985372081501215;Langsam rührt sich was ?;nothing
1318;Es gibt Menschen, die sich wagen, die Wahrheit beim Namen zu nennen und müssen dafür durch die Judenbrut und ihren Pestbeulen um ihre Gesundheit, ihre Familie, ihre Kinder und womöglich um ihr Leben fürchten und dazu gehört neben Kirsten Heisig und vielen deutschen Patrioten anderer Länder auch Prof. Bilyana Martinovski.;nothing
1096;Heil Hitler! Wir werden uns nicht erweichen lassen! #Vorwärts #SiegHeil #1488;agitation
1111389495566139;Ich lese ständig nur Integration ich denke Asyl ist nur vorübergehend.;nothing
876313625740395;wenn du meinst, bisher wurde ich nur von leuten mit migrationshintergrund mit waffe bedroht und gefesselt ... tztztz und dies hier spricht auch für sich ....http://www.haz.de/Hannover/Aus-der-Stadt/Uebersicht/Drei-Raubueberfaelle-in-24-Stunden;nothing
1056998234338599;Meyer Stefan ich komm nicht mehr draus.  Die Zahlen sind extrem widersprüchlich.  Von 92.000 habe ich auch gehört, wobei sie noch vor 4 Wochen Bilder aus einer leergefegten Erstaufnahme in Ostbayern gezeigt haben.  Den Zahlen kann man anscheinend auch nicht mehr wirklich glauben.;criticism
991270800911343;leider geht der livestream.pegida.de nur ohne Ton, an was es auch immer liegen mag...;nothing
1038646179507138;Lügenminister de Maisiere eben, wir halten nie Informationen bzgl. der Herkunft, Nationalität usw. zurück... Niemand tut das. Das lügt der frech und dreist im Fernsehen. Aha.. liest der Depp keine Zeitungen.. Hinter welchem Mond lebt der eigentlich..;criticism
1010244405680649;"Pentagon-Bericht enthüllt: Folgende Staaten wirkten an der Entstehung der ISIS mit.
Die USA und westliche Staaten haben gemeinsam mit der Türkei, Saudi-Arabien, Katar und anderen sunnitischen Golfstaaten wissentlich radikal-sunnitisch-islamische Gruppen in Syrien unterstützt, woraus der ""Islamische Staat""(die ISIS) entstanden ist. Dieser wurde vom Pentagon jedoch - trotz aller ebenfalls erkannten Gefahren - als hilfreich bei der Destabilisierung des syrischen Regimes gesehen.";nothing
1105463829492039;Nür scheisse;nothing
1035111436527279;Das passt schon. Wir lassen uns nicht auseinander dividieren!;nothing
982681965103560;Ungarn darf die Schusswaffe nicht anwenden. Diese Soldaten laufen unter den Namen Flüchtling und somit würden die Ungen gegen die Genferkonvention versto?en;nothing
982935451744878;Wenn die Syrer gegen die Unterdrücker in Ihrem Land genauso vorgehen würden, dann wäre das schon einmal ein Schritt für eine Lösung und ein Weg für ein neues Syrien.;nothing
