"document","comment_id","type","start","end"
"NDY-274","88","affection declaration","124","187"
"NDY-274","89","ambiguous","0","16"
"NDY-274","90","positive feedback","0","15"
"NDY-274","90","positive feedback","72","74"
"NDY-274","92","positive feedback","106","144"
"NDY-274","93","encouragement","0","29"
"NDY-274","94","positive feedback","0","14"
"NDY-274","102","positive feedback","0","34"
"NDY-274","102","affection declaration","209","249"
"NDY-274","103","positive feedback","0","50"
"NDY-274","103","positive feedback","51","102"
"NDY-274","105","positive feedback","0","16"
"NDY-274","105","compliment","92","120"
"NDY-274","106","positive feedback","0","54"
"NDY-274","106","positive feedback","55","64"
"NDY-274","107","positive feedback","0","24"
"NDY-274","107","encouragement","25","45"
"NDY-274","108","gratitude","0","37"
"NDY-274","111","positive feedback","0","27"
"NDY-274","111","encouragement","47","96"
"NDY-274","112","positive feedback","0","83"
"NDY-274","112","positive feedback","240","273"
"NDY-274","118","compliment","0","28"
"NDY-274","118","positive feedback","34","82"
"NDY-274","118","gratitude","400","415"
"NDY-274","119","encouragement","0","47"
"NDY-274","119","positive feedback","50","65"
"NDY-274","121","encouragement","256","315"
"NDY-274","124","compliment","0","42"
"NDY-274","128","group membership","17","59"
"NDY-274","128","compliment","62","108"
"NDY-274","128","compliment","113","200"
"NDY-274","128","compliment","451","481"
"NDY-274","130","affection declaration","62","94"
"NDY-274","132","positive feedback","0","56"
"NDY-274","132","encouragement","57","88"
"NDY-274","133","affection declaration","0","35"
"NDY-274","134","compliment","0","72"
"NDY-274","136","positive feedback","0","39"
"NDY-274","136","encouragement","44","108"
"NDY-274","140","encouragement","0","24"
"NDY-274","145","positive feedback","91","123"
"NDY-274","146","positive feedback","0","58"
"NDY-274","151","affection declaration","0","25"
"NDY-274","152","positive feedback","0","31"
"NDY-274","153","positive feedback","3","39"
"NDY-274","153","affection declaration","101","123"
"NDY-274","154","compliment","0","20"
"NDY-274","154","positive feedback","24","51"
"NDY-274","156","affection declaration","0","23"
"NDY-274","156","compliment","26","93"
"NDY-274","156","positive feedback","94","128"
"NDY-274","157","affection declaration","0","20"
"NDY-274","158","compliment","0","43"
"NDY-274","159","compliment","0","42"
"NDY-274","159","affection declaration","45","86"
"NDY-274","163","encouragement","7","78"
"NDY-274","163","positive feedback","130","143"
"NDY-274","164","positive feedback","41","55"
"NDY-274","165","compliment","35","63"
"NDY-274","166","compliment","0","31"
"NDY-274","166","compliment","32","47"
"NDY-274","167","compliment","361","403"
"NDY-274","168","positive feedback","7","46"
"NDY-274","168","affection declaration","49","81"
"NDY-274","168","positive feedback","130","156"
"NDY-274","168","compliment","157","211"
"NDY-274","169","encouragement","0","20"
"NDY-274","170","positive feedback","0","27"
"NDY-274","170","compliment","30","72"
"NDY-274","171","positive feedback","0","51"
"NDY-274","171","affection declaration","56","89"
"NDY-274","172","positive feedback","0","30"
"NDY-274","172","encouragement","31","65"
"NDY-274","173","positive feedback","108","126"
"NDY-274","173","encouragement","129","152"
"NDY-274","175","affection declaration","0","42"
"NDY-274","175","compliment","43","92"
"NDY-274","175","positive feedback","180","201"
"NDY-274","175","encouragement","206","239"
"NDY-274","176","compliment","0","40"
"NDY-274","176","affection declaration","41","55"
"NDY-274","176","compliment","60","96"
"NDY-274","176","positive feedback","155","157"
"NDY-274","178","positive feedback","0","67"
"NDY-274","179","positive feedback","0","46"
"NDY-274","179","compliment","204","238"
"NDY-274","181","compliment","0","21"
"NDY-274","182","compliment","0","83"
"NDY-274","182","encouragement","180","223"
"NDY-274","182","compliment","260","286"
"NDY-274","183","positive feedback","49","72"
"NDY-274","185","positive feedback","132","178"
"NDY-274","185","positive feedback","203","223"
"NDY-274","185","encouragement","226","328"
"NDY-274","186","positive feedback","0","42"
"NDY-274","187","affection declaration","0","17"
"NDY-274","187","compliment","18","43"
"NDY-274","187","positive feedback","78","95"
"NDY-274","188","positive feedback","0","70"
"NDY-274","189","positive feedback","4","17"
"NDY-274","190","affection declaration","0","28"
"NDY-274","190","compliment","31","108"
"NDY-274","190","positive feedback","109","143"
"NDY-274","191","positive feedback","12","60"
"NDY-274","191","compliment","61","115"
"NDY-274","191","affection declaration","215","276"
"NDY-274","193","ambiguous","0","13"
"NDY-274","194","positive feedback","0","37"
"NDY-274","194","positive feedback","38","51"
"NDY-274","195","compliment","0","46"
"NDY-274","197","positive feedback","0","34"
"NDY-274","197","encouragement","65","79"
"NDY-274","203","positive feedback","0","30"
"NDY-274","204","positive feedback","0","35"
"NDY-274","205","positive feedback","3","46"
"NDY-274","205","positive feedback","49","125"
"NDY-274","205","compliment","339","454"
"NDY-274","208","compliment","0","48"
"NDY-274","208","compliment","52","87"
"NDY-274","209","gratitude","0","20"
"NDY-274","210","compliment","0","64"
"NDY-274","212","compliment","0","50"
"NDY-274","216","compliment","0","41"
"NDY-274","217","encouragement","0","32"
"NDY-274","218","positive feedback","0","39"
"NDY-274","220","positive feedback","0","49"
"NDY-274","220","positive feedback","50","76"
"NDY-274","220","compliment","180","212"
"NDY-274","220","positive feedback","264","333"
"NDY-274","220","encouragement","417","476"
"NDY-274","221","positive feedback","0","34"
"NDY-274","221","compliment","249","278"
"NDY-274","221","encouragement","283","318"
"NDY-274","223","positive feedback","9","34"
"NDY-274","230","positive feedback","189","237"
"NDY-274","230","encouragement","240","260"
"NDY-274","232","positive feedback","0","18"
"NDY-274","232","positive feedback","19","31"
"NDY-274","234","affection declaration","88","111"
"NDY-274","235","positive feedback","40","55"
"NDY-274","236","affection declaration","103","224"
"NDY-274","236","gratitude","269","289"
"NDY-274","237","positive feedback","0","79"
"NDY-274","242","encouragement","168","216"
"NDY-274","242","positive feedback","217","251"
"NDY-274","244","compliment","0","41"
"NDY-274","246","positive feedback","101","111"
"NDY-274","247","positive feedback","0","28"
"NDY-274","247","affection declaration","29","57"
"NDY-274","247","encouragement","58","124"
"NDY-274","248","encouragement","8","59"
"NDY-274","249","compliment","0","75"
"NDY-274","251","affection declaration","0","24"
"NDY-274","251","affection declaration","58","84"
"NDY-274","252","positive feedback","0","27"
"NDY-274","254","positive feedback","0","20"
"NDY-274","255","positive feedback","6","59"
"NDY-274","255","compliment","218","251"
"NDY-274","255","compliment","254","313"
"NDY-274","256","positive feedback","0","20"
"NDY-274","259","affection declaration","0","31"
"NDY-274","261","implicit","0","48"
"NDY-274","263","ambiguous","31","94"
"NDY-274","267","positive feedback","0","31"
"NDY-274","267","affection declaration","101","129"
"NDY-274","267","compliment","130","190"
"NDY-274","268","compliment","0","19"
"NDY-274","268","group membership","24","79"
"NDY-274","270","ambiguous","0","21"
"NDY-274","274","compliment","286","328"
"NDY-274","274","compliment","331","359"
"NDY-274","275","affection declaration","0","29"
"NDY-274","276","affection declaration","0","36"
"NDY-274","276","compliment","99","125"
"NDY-274","279","positive feedback","0","27"
"NDY-274","280","positive feedback","0","65"
"NDY-274","282","positive feedback","0","10"
"NDY-274","284","affection declaration","0","13"
"NDY-274","287","compliment","0","50"
"NDY-274","288","affection declaration","280","326"
"NDY-274","288","positive feedback","453","468"
"NDY-274","288","positive feedback","469","483"
"NDY-274","289","positive feedback","0","26"
"NDY-274","290","affection declaration","0","31"
"NDY-274","294","positive feedback","0","25"
"NDY-274","295","compliment","3","39"
"NDY-274","295","compliment","43","85"
"NDY-274","295","affection declaration","90","131"
"NDY-274","297","affection declaration","410","499"
"NDY-274","304","ambiguous","0","70"
"NDY-274","305","affection declaration","34","61"
